unit,na_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
CLV10_EUR_HAB,B1GQ,PT	13700 	14100 	14600 	15300 	15800 	16200 	16400 	16500 	16300 	16500 	16600 	16800 	17200 	17200 	16700 	17000 	16700 	16100 	16000 	16300 e	: 
CLV10_EUR_HAB,B1GQ,RO	3900 	4000 	3800 	3800 	3800 	3900 	4000 	4400 	4600 	5000 	5200 	5600 	6100 	6600 	6300 	6300 	6400 	6500 b	6800 	7000 p	: 
CLV10_EUR_HAB,B1GQ,RS	2400 	2400 	2600 	2700 	2400 	2600 	2700 	2900 	3000 	3300 	3500 	3700 	3900 	4200 	4000 	4100 	4200 	4100 	4300 	4200 	: 
CLV10_EUR_HAB,B1GQ,SE	28500 	28900 	29700 	30900 	32300 	33800 	34200 	34800 	35500 	36900 	37800 	39300 	40400 	39800 	37400 	39400 	40100 	39700 	39800 	40300 	: 
CLV10_EUR_HAB,B1GQ,SI	11400 	11800 	12400 	12800 	13500 	14000 	14400 	14900 	15400 	16000 	16600 	17500 	18600 	19200 b	17500 	17700 	17800 	17300 	17100 	17600 	: 
CLV10_EUR_HAB,B1GQ,SK	: 	: 	7400 	7700 	7700 	7800 	8000 	8400 	8900 	9300 	9900 	10700 	11900 	12600 	11800 	12400 	12800 	13000 	13200 	13500 	: 
CLV10_EUR_HAB,B1GQ,UK	22800 	23300 	24000 	24700 	25400 	26300 	26900 	27500 	28200 	28800 	29400 	30000 	30500 	30100 	28700 	28900 	29200 	29400 	29800 	30400 	: 
CLV_PCH_PRE_HAB,B1GQ,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.1 	4.2 	2.8 	1.6 	1.2 	2.0 p	: 
CLV_PCH_PRE_HAB,B1GQ,AT	: 	2.3 	2.1 	3.4 	3.4 	3.1 	1.0 	1.2 	0.3 	2.1 	1.4 	2.8 	3.3 	1.2 	-4.0 	1.7 	2.5 	0.3 	-0.3 	-0.4 	: 
CLV_PCH_PRE_HAB,B1GQ,BE	: 	1.4 	3.5 	1.7 	3.4 	3.4 	0.5 	1.3 	0.4 	3.2 	1.5 	1.8 	2.6 	-0.1 	-3.0 	1.8 	0.9 	-0.5 	-0.4 	0.9 	: 
CLV_PCH_PRE_HAB,B1GQ,BG	: 	: 	-0.5 	4.2 	-5.5 	5.5 	7.2 	7.0 	5.7 	7.1 	7.8 	7.3 	8.2 	6.2 	-3.7 	0.7 	4.2 	0.8 	1.8 	2.1 p	: 
CLV_PCH_PRE_HAB,B1GQ,CH	: 	0.1 	2.0 	2.7 	1.1 	3.4 	1.0 	-0.6 	-0.7 	2.1 	2.4 	3.4 	3.3 	1.1 	-3.3 	1.9 	1.1 	0.1 	0.6 p	0.7 p	: 
CLV_PCH_PRE_HAB,B1GQ,CY	: 	0.0 	0.9 	3.8 	3.5 	4.6 	2.5 	2.1 	1.6 	3.2 	2.4 	2.8 	2.7 	1.1 	-4.6 	-1.3 	-2.1 	-3.9 	-5.7 	-1.4 p	: 
